ID,Role,PasswordHash,FirstLogin
P005,Patient,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,true
D002,Doctor,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,true
P004,Patient,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,true
D001,Doctor,9180c8e8adf3f17da1705bd84101d90ba6f4e1595ffea099132cf60f62e81eed,false
P001,Pharmacist,3954ecb47b592a3fa87065ecc3c858705e29a3259fd9875aa939b6022d7fb575,false
P003,Patient,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,true
P002,Pharmacist,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,true
P1003,Patient,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,true
P1001,Patient,0189ad1b87095a28403748201d5a3915edf75e158646af7c82342dc1dc8b667d,false
P1002,Patient,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,true
